コメダ珈琲店,,,,12/28(水),,12/29(木),,12/30(金),,12/31(土),,1/1(日),,1/2(月),,1/3(火),,1/4(水),,
都道府県,店舗名,市,TEL,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,備考
,稲城向陽台店,稲城市,042-316-7700,7:00,22:00,7:00,22:00,7:00,22:00,7:00,16:00,9:00,17:00,9:00,18:00,9:00,18:00,7:00,22:00,
,葛飾東水元店,葛飾区,03-5876-3988,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,7:00,19:00,7:00,19:00,7:00,19:00,7:00,21:00,
,亀有駅前店,葛飾区,03-5849-3637,7:00,22:00,7:00,22:00,9:00,17:00,休,休,9:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,
,金町南口店,葛飾区,03-5876-6971,7:00,23:00,7:00,21:00,7:00,21:00,7:00,20:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,新小岩北口店,葛飾区西新小岩,03-5654-9390,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,葛西南口店,江戸川区,03-6808-1182,7:00,23:00,7:00,23:00,8:00,20:00,8:00,18:00,休,休,11:00,20:00,11:00,20:00,7:00,23:00,
,一之江駅前店,江戸川区,03-5879-6310,6:00,21:00,6:00,21:00,6:00,21:00,6:00,18:00,休,休,8:00,19:00,8:00,19:00,8:00,19:00,
,イオン東雲店,江東区,03-3532-6661,8:00,21:30,8:00,21:30,8:00,21:30,8:00,19:00,8:00,18:00,8:00,21:30,8:00,21:30,8:00,21:30,
,アトレ亀戸店,江東区,03-5875-5910,7:00,21:00,7:00,21:00,7:00,21:00,7:00,19:00,休,休,10:00,21:00,10:00,21:00,7:00,21:00,
,新木場駅前店,江東区,03-5534-6684,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,21:00,7:00,23:00,7:00,23:00,7:00,23:00,
,ららぽーと豊洲店,江東区,03-6910-1371,7:00,22:00,7:00,22:00,7:00,22:00,7:00,19:00,9:00,21:00,7:00,22:00,7:00,22:00,7:00,22:00,
,東陽町イースト21店,江東区,03-6666-2511,7:30,23:00,7:30,21:00,7:30,21:00,7:30,17:00,7:30,17:00,7:30,21:00,7:30,21:00,7:30,23:00,
,国分寺店,国分寺市,042-326-0300,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,22:00,
,ミーツ国分寺店,国分寺市,042-312-2626,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,休,休,10:00,19:00,7:00,22:00,7:00,22:00,
,国立北口店,国立市,042-505-9981,7:00,21:00,7:00,21:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,21:00,7:00,21:00,
,三鷹上連雀店,三鷹市,0422-24-8058,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,渋谷宮益坂上店,渋谷区,03-6451-1490,7:00,22:30,7:00,22:30,7:00,22:30,7:00,17:00,9:00,18:00,7:00,22:30,7:00,22:30,7:00,22:30,
,渋谷道玄坂上店,渋谷区,03-3461-5088,7:00,23:00,7:00,18:00,7:00,18:00,7:00,17:00,8:00,12:00,7:00,18:00,7:00,18:00,7:00,18:00,
,東小金井店,小金井市,042-316-7170,7:00,23:00,7:00,23:00,7:00,23:00,7:00,21:00,休,休,7:00,23:00,7:00,23:00,7:00,23:00,
,花小金井店,小平市,042-452-3852,7:00,22:30,7:00,22:30,7:00,22:30,7:00,21:00,休,休,7:00,22:30,7:30,22:30,7:00,22:30,
,昭島店,昭島市,042-519-1541,7:00,21:00,7:00,21:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,21:00,7:00,21:00,
,ドン・キホーテ新宿店,新宿区,03-3207-8050,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,11:00,23:00,7:00,23:00,7:00,23:00,7:00,22:30,
,新宿靖国通り店,新宿区,03-5292-5512,8:00,5:00,8:00,5:00,8:00,5:00,8:00,0:00,0:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,
,新宿御苑前店,新宿区,03-6380-5820,7:00,20:00,7:00,16:00,休,休,休,休,休,休,休,休,休,休,10:00,20:00,
,高田馬場駅前店,新宿区,03-6908-7805,7:00,23:00,7:00,23:00,7:00,20:00,7:00,18:00,9:00,18:00,9:00,20:00,8:00,21:00,7:00,23:00,
,東京医科大学病院店,新宿区,03-6258-1145,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,新宿ファーストウエスト店,新宿区,03-5989-0585,7:00,22:30,7:00,22:30,7:00,22:30,休,休,休,休,休,休,休,休,7:00,22:30,
,新宿三丁目店,新宿区新宿,03-6273-0440,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,荻窪南口店,杉並区,03-6915-1766,7:00,23:00,7:00,23:00,7:00,23:00,9:00,18:00,10:00,18:00,9:00,18:00,9:00,21:00,7:00,21:00,1月5日 開店時間7:00  閉店時間21:00
,ビーンズ阿佐ヶ谷店,杉並区,03-5356-7820,7:00,22:00,7:00,22:00,7:00,22:00,9:00,19:00,休,休,9:00,19:00,9:00,19:00,7:00,22:00,
,荻窪西口店,杉並区,03-6276-9981,7:00,22:00,7:00,22:00,7:00,22:00,7:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,7:00,22:00,
,三軒茶屋店,世田谷区,03-6450-8923,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,7:00,23:00,
,駒沢公園店,世田谷区,03-6432-3610,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,下北沢店,世田谷区,03-5738-8494,7:00,23:00,7:00,23:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,21:00,9:00,21:00,7:00,23:00,
,保谷店,西東京市,042-497-5010,7:00,21:00,7:00,21:00,8:00,20:00,8:00,17:00,休,休,8:00,20:00,8:00,20:00,8:00,20:00,1月5日 開店時間8:00 閉店時間20:00
,青梅店,青梅市,0428-78-2572,7:00,21:00,7:00,21:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,21:00,7:00,21:00,
,有楽町ビックカメラ店,千代田区有楽町,03-6810-2171,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,足立竹の塚店,足立区,03-5851-9011,7:00,21:00,7:00,21:00,7:00,21:00,休,休,8:00,16:00,8:00,16:00,8:00,16:00,7:00,21:00,
,北千住本町センター通り店,足立区,03-6806-1972,7:00,22:00,7:00,21:00,7:00,21:30,8:00,18:30,休,休,8:30,20:00,8:00,20:00,7:00,21:00,
東京都,唐木田店,多摩市,042-316-9168,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,7:00,20:00,7:00,20:00,7:00,22:00,
,浅草橋駅前店,台東区,03-5809-3717,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,田原町駅前店,台東区,03-5830-0733,7:00,20:00,7:00,20:00,7:00,20:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,
,上野広小路店,台東区,03-6284-4020,7:00,23:00,7:00,23:00,7:00,23:00,7:00,15:00,7:00,15:00,7:00,15:00,7:00,15:00,7:00,23:00,
,下丸子店,大田区,03-6426-0039,6:30,22:30,6:30,22:30,6:30,22:30,7:00,19:00,休,休,9:00,19:00,9:00,19:00,6:30,22:30,
,大森イトーヨーカドー店,大田区,03-6423-0880,7:00,22:00,7:00,22:00,7:00,22:00,7:00,21:00,9:00,21:00,9:00,21:00,7:00,22:00,7:00,22:00,
,京急大森町店,大田区,03-6436-8696,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,9:00,20:00,9:00,20:00,9:00,20:00,7:00,23:00,
,ダイワロイネットホテル東京京橋,中央区京橋,03-6264-4045,7:00,18:00,7:00,18:00,7:00,18:00,7:00,15:00,8:00,12:00,7:00,18:00,7:00,18:00,7:00,18:00,
,丸井中野店,中野区,03-6454-1850,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,町田鶴川店,町田市,042-708-4188,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,7:00,22:00,
,町田森野店,町田市,042-860-1138,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,21:00,9:00,21:00,7:00,23:00,7:00,23:00,
,本町田店,町田市,042-728-8053,7:00,21:30,7:00,21:30,7:00,21:30,7:00,18:00,9:00,20:00,9:00,20:00,9:00,21:30,7:00,21:30,
,調布仙川店,調布市,03-6909-0727,7:00,22:00,7:00,22:00,7:00,22:00,7:00,20:00,休,休,休,休,10:00,20:00,7:00,22:00,
,東村山店,東村山市,042-313-0058,6:00,22:30,6:00,22:30,6:00,22:30,6:00,18:00,休,休,9:00,18:00,6:00,22:30,6:00,22:30,
,日野多摩平店,日野市,042-589-6677,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,八王子楢原店,八王子市,042-634-8031,7:00,20:00,7:00,20:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,20:00,7:00,20:00,
,八王子駅北口店,八王子市,042-642-8668,7:00,22:00,7:00,22:00,9:00,21:00,9:00,17:00,10:00,18:00,9:00,18:00,9:00,20:00,7:00,21:00,
,板橋四葉店,板橋区,03-5967-1555,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,成増駅前店,板橋区,03-6915-6266,7:00,23:00,7:00,23:00,7:00,23:00,9:00,18:00,10:00,18:00,9:00,18:00,9:00,21:00,7:00,21:00,1/5 7-21時
,エキア東武練馬店,板橋区,03-5399-0611,7:00,22:15,7:00,22:15,7:00,22:15,7:00,22:15,7:00,18:00,7:00,18:00,7:00,18:00,7:00,22:15,
,東武下赤塚駅店,板橋区,03-5967-1525,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,21:00,
,武蔵小山店,品川区,03-6426-1353,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,19:00,9:00,19:00,9:00,19:00,7:00,23:00,
,ワイヤーズホテル品川シーサイド,品川区,03-6433-1355,7:00,19:00,7:00,19:00,7:00,19:00,9:00,15:00,休,休,9:00,15:00,9:00,15:00,7:00,19:00,
,府中白糸台店,府中市,042-306-6869,7:00,20:00,7:00,19:00,7:00,19:00,7:00,17:00,10:00,16:00,10:00,17:00,10:00,17:00,9:00,20:00,
,ダイエー武蔵村山店,武蔵村山市,042-506-8500,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,21:00,
,吉祥寺ダイヤ街店,武蔵野市,0422-27-6845,7:00,23:00,7:00,23:00,7:00,23:00,7:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,7:00,23:00,
,吉祥寺西口店,武蔵野市,0422-27-1558,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,東京ドームシティミーツポート店,文京区,03-6801-8800,7:00,22:30,7:00,22:30,7:00,22:30,7:00,22:30,7:00,22:30,7:00,22:30,7:00,22:30,7:00,22:30,
,池袋西口店,豊島区,03-6915-2897,7:00,23:00,7:00,23:00,7:00,23:00,9:00,18:00,10:00,18:00,9:00,18:00,9:00,21:00,7:00,21:00,1/5 7-21時
,巣鴨店,豊島区,03-6903-5170,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,8:00,19:00,8:00,19:00,8:00,19:00,7:00,23:00,
,池袋西武前店,豊島区,03-5904-8989,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,20:00,7:00,23:00,7:00,23:00,7:00,23:00,
,大塚南口店,豊島区,03-6914-3038,7:00,22:00,7:00,22:00,7:00,22:00,8:00,20:00,休,休,11:00,22:00,7:00,22:00,7:00,22:00,1月5日以降 しばらくの間 開店時間7:00 閉店時間22:00
,南池袋グリーン大通り店,豊島区,03-6812-1744,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,東池袋一丁目店,豊島区,03-6709-2602,7:00,20:30,7:00,20:30,9:00,20:30,9:00,20:30,9:00,18:30,9:00,20:30,9:00,20:30,7:00,23:00,
,田端駅前店,北区,03-5834-7701,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,赤羽東口店,北区,03-6903-8717,7:00,22:00,7:00,22:00,7:00,20:00,7:00,18:00,8:00,19:00,8:00,19:00,8:00,19:00,7:00,23:00,
,浮間公園店,北区浮間,03-6454-5633,7:00,23:00,7:00,19:00,7:00,19:00,7:00,17:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,丸井錦糸町店,墨田区,03-3631-6877,8:30,21:00,8:30,21:00,8:30,21:00,8:30,18:30,休,休,休,休,休,休,8:30,21:00,
,大泉学園店,練馬区,03-6904-4770,7:00,23:00,7:00,23:00,7:00,23:00,9:00,18:00,10:00,18:00,9:00,18:00,9:00,21:00,7:00,21:00,1月5日 開店時間7:00 閉店時間21:00
,練馬土支田店,練馬区,03-6904-6345,7:00,21:00,7:00,21:00,8:00,20:00,8:00,17:00,休,休,8:00,20:00,8:00,20:00,8:00,20:00,1月5日 開店時間8:00 閉店時間20:00
神奈川県,イオン久里浜店,横須賀市,046-838-5340,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30,
,松原商店街店,横浜市,045-444-8195,7:00,21:00,7:00,20:00,7:00,18:00,7:00,18:00,休,休,9:00,17:00,7:00,17:00,7:00,21:00,
,横浜鍛冶ケ谷店,横浜市栄区,045-897-3365,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,休,休,8:00,21:00,7:00,21:00,7:00,21:00,
,イオン東神奈川店,横浜市神奈川区,045-642-4360,7:00,23:00,7:00,23:00,7:00,23:00,7:00,21:00,9:00,22:00,7:00,23:00,7:00,23:00,7:00,23:00,
,横浜西口北幸店,横浜市西区,045-321-7737,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,横浜ランドマークプラザ店,横浜市西区,045-777-5577,7:00,21:00,7:00,21:00,7:00,21:00,7:00,19:00,休,休,7:00,21:00,7:00,21:00,7:00,21:00,
,横浜江田店,横浜市青葉区,045-910-6788,7:00,23:30,7:00,23:30,7:00,23:30,7:00,17:00,9:00,18:00,7:00,22:00,7:00,22:00,7:00,23:30,
,こどもの国店,横浜市青葉区,045-532-5533,7:00,21:00,7:00,21:00,7:00,21:00,7:00,19:00,休,休,9:00,19:00,7:00,21:00,7:00,21:00,
,横浜中田店,横浜市泉区,045-806-5231,7:00,20:00,7:00,20:00,7:00,20:00,7:00,18:00,休,休,8:00,20:00,7:00,20:00,7:00,20:00,
,横浜元町店,横浜市中区,045-227-5687,9:00,21:00,9:00,21:00,9:00,21:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,21:00,
,ダイワロイネットホテル横浜関内,横浜市中区,045-341-0175,7:00,20:00,7:00,20:00,7:00,20:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,20:00,
,イオン駒岡店,横浜市鶴見区,045-642-6477,7:00,21:00,7:00,21:00,7:00,21:00,7:00,19:00,9:00,17:00,7:00,19:00,7:00,19:00,7:00,21:00,
,センター北駅店,横浜市都筑区,045-910-5232,7:00,23:00,7:00,23:00,9:00,20:00,9:00,18:00,9:00,18:00,9:00,20:00,9:00,20:00,7:00,23:00,
,長津田店,横浜市緑区,045-508-9166,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,横浜中山店,横浜市緑区,045-532-3601,7:00,23:00,7:00,23:00,7:00,23:00,7:00,20:00,7:00,21:00,7:00,23:00,7:00,23:00,7:00,23:00,
,海老名大谷店,海老名市,046-233-2345,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,7:00,20:00,7:00,20:00,7:00,23:00,
,海老名かしわ台店,海老名市,046-232-5338,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,7:00,20:00,7:00,20:00,7:00,23:00,
,鎌倉深沢店,鎌倉市,0467-73-7080,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,7:00,17:00,7:00,17:00,7:00,22:00,
,鎌倉小町店,鎌倉市,0467-24-5511,7:00,21:30,7:00,21:30,7:00,21:30,7:00,18:00,7:00,21:30,7:00,21:30,7:00,21:30,7:00,21:30,
,厚木妻田店,厚木市,046-205-6224,7:00,22:30,7:00,22:30,7:00,22:30,7:00,16:00,9:00,17:00,7:00,17:00,7:00,17:00,7:00,22:30,
,寒川店,高座郡寒川町,0467-84-8575,7:00,22:00,7:00,22:00,7:00,22:00,7:00,19:00,7:00,19:00,7:00,19:00,7:00,19:00,7:00,22:00,
,カインズ三浦店,三浦市,046-845-9775,7:00,22:00,7:00,22:00,7:00,22:00,7:00,19:00,7:00,18:00,7:00,19:00,7:00,19:00,7:00,22:00,
,南鴨宮店,小田原市,0465-47-1678,7:00,21:00,7:00,21:00,7:00,21:00,7:00,15:00,9:00,18:00,7:00,18:00,7:00,21:00,7:00,21:00,
,秦野店,秦野市,0463-85-4147,7:00,20:00,7:00,20:00,7:00,20:00,7:00,15:00,9:00,18:00,7:00,18:00,7:00,20:00,7:00,20:00,
,川崎南加瀬店,川崎市幸区,044-599-5500,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,9:00,21:00,7:00,23:00,7:00,23:00,
,武蔵溝ノ口駅前店,川崎市高津区,044-455-4664,7:00,23:00,7:00,23:00,7:00,21:00,7:00,18:00,9:00,17:00,9:00,21:00,7:00,21:00,7:00,23:00,
,京急川崎駅前店,川崎市川崎区,044-280-6935,7:00,22:00,7:00,22:00,7:00,20:00,7:00,18:00,8:00,19:00,8:00,19:00,8:00,19:00,7:00,23:00,
,川崎武蔵中原店,川崎市中原区,044-722-2007,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,休,休,8:00,18:00,8:00,20:00,7:00,22:00,
,相模原相生店,相模原市中央区,042-757-7666,7:00,22:00,7:00,22:00,7:00,22:00,7:00,16:00,9:00,22:00,9:00,22:00,9:00,22:00,7:00,22:00,
,古淵駅前店,相模原市南区,042-707-8994,6:00,23:30,6:00,23:30,6:00,23:30,6:00,17:00,9:00,20:00,8:00,21:00,7:00,23:30,6:00,23:30,
,橋本店,相模原市緑区,042-700-7515,7:00,21:30,7:00,21:30,7:00,21:30,7:00,18:00,9:00,20:00,9:00,21:30,9:00,21:30,7:00,21:30,
,大井松田店,足柄上郡大井町,0465-43-8678,7:00,21:30,7:00,21:30,7:00,21:30,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,21:30,
,大和つきみ野店,大和市,046-271-0320,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,8:00,19:00,7:00,20:00,7:00,20:00,7:00,23:00,
,大和下和田店,大和市,046-268-6520,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,7:00,20:00,7:00,20:00,7:00,23:00,
,大和鶴間イトーヨーカドー店,大和市,046-240-9797,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,21:00,
,藤沢湘南台店,藤沢市,0466-89-0077,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,7:00,17:00,7:00,22:00,7:00,22:00,
,藤沢亀井野店,藤沢市,0466-84-1740,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,22:00,
,なぎさモール辻堂店,藤沢市,0466-30-2500,7:00,20:00,7:00,20:00,7:00,20:00,7:00,16:00,休,休,7:00,20:00,7:00,20:00,7:00,20:00,
,平塚田村店,平塚市,0463-51-5595,7:00,21:30,7:00,21:30,7:00,21:30,7:00,17:00,休,休,9:00,17:00,7:00,21:30,7:00,21:30,
,上平塚店,平塚市,0463-33-1320,7:00,21:00,7:00,21:00,7:00,21:00,7:00,15:00,9:00,18:00,7:00,18:00,7:00,21:00,7:00,21:00,
,平塚駅南口店,平塚市,0463-24-0077,7:00,20:00,7:00,20:00,7:00,20:00,7:00,15:00,9:00,18:00,7:00,18:00,7:00,20:00,7:00,20:00,
新潟県,三条店,三条市,0256-31-1070,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,22:00,7:00,22:00,7:00,23:00,
,上越店,上越市,025-539-0571,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,22:00,7:00,22:00,7:00,23:00,
,上越妙高駅前店,上越市,025-520-6453,7:00,21:30,7:00,21:30,7:00,21:00,7:00,17:00,8:00,19:00,8:00,20:00,7:00,21:30,7:00,21:30,
,イオンモール新潟南店,新潟市江南区,025-384-8187,9:00,22:00,9:00,22:00,9:00,22:00,9:00,20:00,9:00,21:00,9:00,22:00,9:00,22:00,9:00,22:00,
,イオン新潟青山店,新潟市西区,025-211-8551,8:00,21:00,8:00,21:00,8:00,21:00,8:00,18:00,9:00,18:00,9:00,18:00,9:00,19:00,8:00,21:00,
,新潟新和店,新潟市中央区,025-280-1060,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,20:00,
,逢谷内インター店,新潟市東区,025-383-8501,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,8:00,19:00,8:00,19:00,7:00,20:00,
,長岡今朝白店,長岡市,0258-86-6350,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,22:00,
,柏崎店,柏崎市,0257-32-0016,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,休,休,8:00,20:00,7:00,21:00,7:00,21:00,1月5日以降 開店時間7:00 閉店時間21:00
,魚津店,魚津市,0765-32-4511,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,休,休,9:00,18:00,9:00,18:00,9:00,18:00,1/5開店9:00閉店18:00
富山県,新高岡店,高岡市,0766-54-0572,7:00,23:00,7:00,23:00,7:00,23:00,7:00,15:00,休,休,9:00,15:00,9:00,15:00,7:00,23:00,
,イータウンとなみ店,砺波市,0763-55-6663,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,休,休,7:00,16:00,7:00,16:00,7:00,16:00,1月5日 開店時間7:00 閉店時間16:00
,富山掛尾店,富山市,076-464-5021,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,休,休,9:00,18:00,9:00,18:00,9:00,18:00,1月5日 開店時間7:00 閉店時間21:00
,富山呉羽店,富山市,076-482-3133,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,休,休,9:00,18:00,9:00,18:00,9:00,18:00,1月5日 開店時間9:00 閉店時間18:00
石川県,イオンモールかほく店,かほく市,076-289-3181,7:00,20:00,7:00,20:00,7:00,20:00,7:00,18:00,7:00,18:00,7:00,20:00,7:00,20:00,7:00,20:00,
,金沢松村店,金沢市,076-255-2031,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,休,休,9:00,17:00,7:00,23:00,7:00,23:00,
,金沢高柳店,金沢市,076-253-3001,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,休,休,9:00,17:00,7:00,23:00,7:00,23:00,
,金沢もりの里店,金沢市,076-210-5501,7:00,23:00,7:00,23:00,7:00,23:00,7:00,15:00,休,休,9:00,15:00,9:00,15:00,7:00,23:00,
,金沢直江店,金沢市,076-239-0303,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,休,休,7:00,17:00,7:00,23:00,7:00,23:00,
,七尾店,七尾市,0767-54-0001,7:00,20:00,7:00,20:00,7:00,20:00,7:00,18:00,休,休,休,休,休,休,7:00,20:00,
石川県,小松沖店,小松市,0761-24-2232,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,休,休,9:00,17:00,7:00,23:00,7:00,23:00,
,野々市矢作店,野々市市,076-248-2242,7:00,22:00,7:00,22:00,7:00,22:00,7:00,15:00,休,休,9:00,15:00,9:00,15:00,7:00,22:00,
福井県,武生店,越前市,0778-42-5551,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,8:00,20:00,7:00,23:00,7:00,23:00,
,鯖江店,鯖江市,0778-52-0555,6:30,23:00,6:30,23:00,6:30,23:00,6:30,18:00,休,休,8:00,20:00,6:30,23:00,6:30,23:00,
,小浜店,小浜市,0770-53-4040,7:00,20:00,7:00,20:00,7:00,20:00,7:00,17:00,休,休,9:00,18:00,9:00,18:00,7:00,20:00,
,大野インター店,大野市,0779-66-7702,7:00,21:00,7:00,21:00,7:00,19:00,7:00,19:00,休,休,7:00,19:00,7:00,19:00,7:00,19:00,
,敦賀店,敦賀市,0770-25-1611,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,9:00,19:00,7:00,19:00,7:00,19:00,7:00,23:00,
,福井二の宮店,福井市,0776-50-2257,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,福井木田橋通り店,福井市,0776-63-6664,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,19:00,7:00,19:00,7:00,19:00,7:00,23:00,
山梨県,甲府貢川店,甲府市,055-268-2680,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,20:00,7:00,22:00,
,甲府昭和店,中巨摩郡昭和町,055-236-8728,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,20:00,7:00,21:00,
,石和店,笛吹市,055-298-6680,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,20:00,7:00,21:00,
,富士吉田店,富士吉田市,0555-72-8952,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
長野県,安曇野豊科店,安曇野市,0263-73-1153,7:00,22:00,7:00,22:00,7:00,15:00,休,休,9:00,17:00,7:00,22:00,7:00,22:00,7:00,22:00,
,伊那ナイスロード店,伊那市,0265-73-1153,7:00,23:00,7:00,23:00,7:00,15:00,休,休,9:00,17:00,7:00,23:00,7:00,23:00,7:00,23:00,
,塩尻広丘店,塩尻市,0263-53-5322,7:00,22:00,7:00,22:00,7:00,15:00,休,休,9:00,17:00,7:00,22:00,7:00,22:00,7:00,22:00,
,ベイシア佐久平店,佐久市,0267-78-3828,7:00,23:00,7:00,23:00,7:00,23:00,8:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,23:00,
